letter	frequency	totfinishers	pct_place
25	7	7	0.028
26	12	19	0.075
27	6	25	0.099
28	18	43	0.17
29	30	73	0.289
30	41	114	0.452
31	53	167	0.662
32	68	235	0.931
33	90	325	1.287
34	125	450	1.783
35	134	584	2.313
36	165	749	2.967
37	189	938	3.716
38	214	1152	4.563
39	279	1431	5.669
40	335	1766	6.996
41	360	2126	8.422
42	421	2547	10.09
43	430	2977	11.793
44	535	3512	13.912
45	563	4075	16.142
46	571	4646	18.404
47	597	5243	20.769
48	667	5910	23.412
49	638	6548	25.939
50	721	7269	28.795
51	599	7868	31.168
52	670	8538	33.822
53	583	9121	36.131
54	683	9804	38.837
55	615	10419	41.273
56	607	11026	43.678
57	539	11565	45.813
58	497	12062	47.782
59	501	12563	49.766
60	454	13017	51.565
61	415	13432	53.209
62	368	13800	54.666
63	392	14192	56.219
64	358	14550	57.637
65	349	14899	59.02
66	324	15223	60.303
67	293	15516	61.464
68	260	15776	62.494
69	258	16034	63.516
70	211	16245	64.352
71	232	16477	65.271
72	181	16658	65.988
73	204	16862	66.796
74	206	17068	67.612
75	224	17292	68.499
76	164	17456	69.149
77	214	17670	69.997
78	201	17871	70.793
79	145	18016	71.367
80	164	18180	72.017
81	212	18392	72.857
82	199	18591	73.645
83	169	18760	74.315
84	167	18927	74.976
85	175	19102	75.669
86	161	19263	76.307
87	150	19413	76.901
88	187	19600	77.642
89	166	19766	78.3
90	184	19950	79.029
91	162	20112	79.67
92	193	20305	80.435
93	197	20502	81.215
94	216	20718	82.071
95	177	20895	82.772
96	183	21078	83.497
97	197	21275	84.277
98	210	21485	85.109
99	151	21636	85.707
100	154	21790	86.318
101	191	21981	87.074
102	167	22148	87.736
103	177	22325	88.437
104	167	22492	89.098
105	152	22644	89.701
106	144	22788	90.271
107	168	22956	90.936
108	111	23067	91.376
109	169	23236	92.046
110	178	23414	92.751
111	134	23548	93.282
112	133	23681	93.808
113	130	23811	94.323
114	88	23899	94.672
115	104	24003	95.084
116	82	24085	95.409
117	69	24154	95.682
118	95	24249	96.058
119	93	24342	96.427
120	53	24395	96.637
121	62	24457	96.882
122	53	24510	97.092
123	65	24575	97.35
124	27	24602	97.457
125	31	24633	97.58
126	44	24677	97.754
127	34	24711	97.889
128	40	24751	98.047
129	32	24783	98.174
130	36	24819	98.316
131	41	24860	98.479
132	21	24881	98.562
133	46	24927	98.744
134	23	24950	98.835
135	17	24967	98.903
136	15	24982	98.962
137	24	25006	99.057
138	9	25015	99.093
139	13	25028	99.144
140	5	25033	99.164
141	21	25054	99.247
142	11	25065	99.291
143	7	25072	99.319
144	13	25085	99.37
145	6	25091	99.394
146	14	25105	99.449
147	8	25113	99.481
148	8	25121	99.513
149	14	25135	99.568
